Report,Crime_Type
Wallet stolen from jacket pocket on crowded metro during rush hour.,Theft
Mobile phone snatched by two men on motorcycle near market street.,Theft
Purse pickpocketed while shopping at the busy festival bazaar.,Theft
Laptop bag taken from parked car with broken window glass.,Theft
Gold chain grabbed from woman walking alone late at night.,Theft
Backpack with valuables stolen from cafe table when owner stepped away.,Theft
Bicycle missing from apartment parking lot despite being locked.,Theft
Cash and jewelry taken from hotel room safe during stay.,Theft
Shop goods missing after suspicious customer visited yesterday afternoon.,Theft
Delivery package stolen from doorstep within hours of arrival.,Theft
Smartphone lifted from handbag during crowded temple visit.,Theft
Watch missing from gym locker after morning workout session.,Theft
Groceries and wallet stolen from shopping cart momentarily left alone.,Theft
Designer sunglasses taken from restaurant table during dinner.,Theft
Cash envelope disappeared from office desk during lunch break.,Theft
Man attacked and beaten badly by group outside the nightclub.,Assault
Physical fight broke out between two neighbors over parking dispute.,Assault
Woman punched and pushed to ground by unknown attacker in park.,Assault
Bar brawl resulted in serious injuries needing hospital treatment.,Assault
Road rage incident escalated to physical violence between drivers.,Assault
Domestic abuse reported by neighbor hearing screams and crashes.,Assault
Student assaulted by seniors during college ragging incident reported.,Assault
Customer attacked shop owner after heated argument over refund.,Assault
Group fight erupted at wedding function leading to multiple injuries.,Assault
Taxi driver beaten by passengers refusing to pay the fare.,Assault
Delivery boy attacked for taking too long with food order.,Assault
Security guard assaulted while trying to stop trespassers at night.,Assault
Fake online shopping website took payment but never shipped products.,Fraud
Caller pretended to be bank officer and stole credit card details.,Fraud
Investment scheme promised huge returns but organizer disappeared with money.,Fraud
Forged property documents used to sell the same flat twice.,Fraud
Job offer scam demanded deposit for training that never happened.,Fraud
Fake lottery winning message tricked elderly person into sending money.,Fraud
Insurance claim submitted with fabricated accident report and false photos.,Fraud
Romance scam on dating app drained victim savings over months.,Fraud
UPI payment fraud where scammer reversed transactions after delivery.,Fraud
Fake charity collected donations claiming to help flood victims.,Fraud
Counterfeit currency notes passed off at small neighborhood shops.,Fraud
Business partner forged signatures to withdraw company funds illegally.,Fraud
House broken into through back window while family was on vacation.,Burglary
Shop shutters forced open at night and cash register emptied.,Burglary
Apartment burglarized during daytime when residents were at work.,Burglary
Warehouse broken into and electronics worth lakhs were stolen overnight.,Burglary
Office premises ransacked and computers taken through rooftop entry.,Burglary
Jewelry shop safe cracked open during early morning hours.,Burglary
Temple donation box broken and contents emptied after closing time.,Burglary
School laboratory raided and expensive equipment taken overnight.,Burglary
ATM machine forcibly opened using gas cutter at isolated location.,Burglary
Empty bungalow stripped of fixtures fittings and copper wiring.,Burglary
Phishing email stole login credentials and emptied savings account.,Cybercrime
Ransomware encrypted all company files demanding bitcoin payment.,Cybercrime
Fake social media account used to defame and harass victim online.,Cybercrime
Hacker accessed email and sent fraudulent messages to all contacts.,Cybercrime
Identity theft online opened multiple loan accounts under victim name.,Cybercrime
Dark web listing offered stolen personal data of thousands of users.,Cybercrime
Bitcoin wallet drained through sophisticated malware on mobile device.,Cybercrime
Deepfake video used to blackmail businessman for large ransom payment.,Cybercrime
Online banking OTP intercepted through SIM swap fraud technique.,Cybercrime
Credit card skimmer installed on ATM captured hundreds of card details.,Cybercrime
Corporate server breached and customer database leaked on underground forum.,Cybercrime
Fake customer support number tricked users into sharing banking passwords.,Cybercrime
Public park benches smashed and graffiti painted on all walls.,Vandalism
Parked cars scratched with keys along entire street last night.,Vandalism
School windows broken and classroom furniture destroyed by intruders.,Vandalism
Statue in public square defaced with paint and rude slogans.,Vandalism
Bus stop shelter glass panels smashed during rowdy late night party.,Vandalism
Community hall walls spray painted with obscene gang related graffiti.,Vandalism
Shop signboards damaged and neon lights broken by drunk group.,Vandalism
Public toilets destroyed with plumbing fixtures ripped from walls.,Vandalism
Armed robbers held up bank tellers and escaped with large cash.,Robbery
Jewelry store robbed by masked men using guns and hammers.,Robbery
Petrol pump attendant threatened with knife and cash register emptied.,Robbery
Couple mugged at knifepoint while walking home after evening movie.,Robbery
Cash van attacked by gang who escaped with payroll money bags.,Robbery
Auto rickshaw driver robbed at night by armed passengers taking cash.,Robbery
Elderly couple tied up at home while intruders took valuables.,Robbery
Chain snatching by bike borne thieves targeting morning walkers.,Robbery
Large cache of narcotics seized during raid on suburban apartment.,Drug Offense
Peddler caught selling contraband near school premises to students.,Drug Offense
Party raid resulted in arrest of attendees for illegal substance possession.,Drug Offense
Shipment of illegal drugs intercepted at port during customs check.,Drug Offense
Chemist shop owner arrested for selling prescription drugs without papers.,Drug Offense
Synthetic drug manufacturing lab discovered in remote rural location.,Drug Offense
College student found dealing marijuana within campus hostel grounds.,Drug Offense
Woman stalked by former colleague who sends threatening messages daily.,Harassment
Neighbor repeatedly makes offensive comments and gestures toward family.,Harassment
Online trolling campaign targeting journalist with rape and death threats.,Harassment
Workplace bullying by supervisor creating hostile environment for team.,Harassment
Anonymous caller repeatedly disturbs elderly resident with prank calls.,Harassment
Tenant harassed by landlord demanding extra payments beyond agreement.,Harassment
Student continuously bullied by classmates causing severe mental distress.,Harassment
Ex-partner sending unwanted messages and showing up at workplace repeatedly.,Harassment
