City,State,Lat,Lon,Population_M,Year,Month,Crime_Type,Cases,Severity,Resolution_Rate,Arrests,Response_Time_Min
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Theft,150,Medium,0.77,88,26.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Assault,53,Low,0.56,24,37.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Fraud,104,Low,0.47,43,15.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Burglary,78,Critical,0.36,21,43.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Vandalism,50,Medium,0.74,23,27.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Robbery,52,Medium,0.55,18,26.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Cybercrime,98,Medium,0.51,42,36.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Drug Offense,58,Medium,0.47,20,21.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Homicide,13,Low,0.55,5,23.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,1,Harassment,104,Low,0.67,50,23.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Theft,177,Medium,0.53,56,11.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Assault,82,Medium,0.65,47,33.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Fraud,89,Low,0.6,36,43.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Burglary,106,High,0.55,49,12.9
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Vandalism,56,Medium,0.67,27,13.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Robbery,45,Low,0.48,14,23.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Cybercrime,109,High,0.69,57,25.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Drug Offense,79,High,0.64,42,42.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Homicide,9,High,0.47,3,37.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,2,Harassment,101,Low,0.63,39,21.2
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Theft,208,Low,0.61,103,38.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Assault,91,Low,0.53,35,10.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Fraud,131,Medium,0.71,81,12.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Burglary,79,Medium,0.41,21,29.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Vandalism,55,High,0.72,24,27.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Robbery,62,Critical,0.47,18,40.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Cybercrime,148,Low,0.54,65,39.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Drug Offense,61,Medium,0.7,32,14.1
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Homicide,10,Low,0.7,4,8.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,3,Harassment,90,Low,0.41,22,27.4
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Theft,212,Low,0.41,60,29.8
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Assault,107,Critical,0.45,29,38.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Fraud,170,Medium,0.68,99,30.6
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Burglary,120,Low,0.47,38,12.5
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Vandalism,89,Low,0.64,35,21.3
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Robbery,55,Low,0.57,24,19.7
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Cybercrime,147,Low,0.43,44,22.0
Mumbai,Maharashtra,19.076,72.8777,20.4,2019,4,Drug Offense,67,High,0.71,29,21.7
